original_title;english_title;rating;year;film_poster;genres
The Curious Case of Benjamin Button;The Curious Case of Benjamin Button;7.8;2008;;Drama,Fantasy,Romance
Spider-Man: No Way Home;Spider-Man: No Way Home;8.5;2021;;Action,Adventure,Fantasy,Sci-Fi
Captain Phillips;Captain Phillips;8.1;2013;;Action,Biography,Crime,Drama,Thriller
Raging Bull;Raging Bull;8.5;1980;;Biography,Drama,Sport
Rebecca;Rebecca;8.5;1940;;Drama,Mystery,Romance,Thriller
Star Wars: Episode VI - Return of the Jedi;Star Wars: Episode VI - Return of the Jedi;8.4;1983;;Action,Adventure,Fantasy,Sci-Fi
The Bourne Supremacy;The Bourne Supremacy;7.9;2004;;Action,Thriller
GoodFellas;GoodFellas;9.0;1990;;Biography,Crime,Drama
Gone Girl;Gone Girl;8.1;2014;;Drama,Mystery,Thriller
The Last of the Mohicans;The Last of the Mohicans;8.0;1992;;Action,Adventure,Drama,Romance,War,Western
Thor: Ragnarok;Thor: Ragnarok;7.7;2017;;Action,Adventure,Comedy,Fantasy,Sci-Fi
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb;Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb;8.8;1964;;Comedy,War
Awakenings;Awakenings;8.2;1990;;Biography,Drama
Life Is Beautiful;Life Is Beautiful;8.3;1998;;Comedy,Drama,Romance,War
Whiplash;Whiplash;8.8;2014;;Drama,Music
Sweeney Todd: The Demon Barber of Fleet Street;Sweeney Todd: The Demon Barber of Fleet Street;7.8;2007;;Drama,Horror,Musical,Thriller
Spider-Man: Into the Spider-Verse;Spider-Man: Into the Spider-Verse;8.8;2018;;Animation,Action,Adventure,Comedy,Family,Fantasy,Sci-Fi
The Shining;The Shining;8.6;1980;;Drama,Horror
Felon;Felon;7.0;2008;;Action,Drama,Thriller
The Pursuit of Happyness;The Pursuit of Happyness;7.9;2006;;Biography,Drama
Carlito's Way;Carlito's Way;8.2;1993;;Crime,Drama,Thriller
2001: A Space Odyssey;2001: A Space Odyssey;8.7;1968;;Adventure,Sci-Fi
Avengers: Endgame;Avengers: Endgame;8.3;2019;;Action,Adventure,Drama,Sci-Fi
Amélie;Amélie;8.3;2001;;Comedy,Romance
Searching for Sugar Man;Searching for Sugar Man;8.4;2012;;Documentary,Biography,Music
The Matrix;The Matrix;8.9;1999;;Action,Sci-Fi
The Hobbit: An Unexpected Journey;The Hobbit: An Unexpected Journey;8.0;2012;;Adventure,Fantasy
Casino;Casino;8.3;1995;;Crime,Drama
The Devil's Advocate;The Devil's Advocate;7.4;1997;;Drama,Fantasy,Mystery,Thriller
Children of Heaven;Children of Heaven;7.3;1999;;Drama,Family,Sport
Promising Young Woman;Promising Young Woman;7.2;2020;;Crime,Drama,Mystery,Thriller
The Hunt;The Hunt;8.4;2013;;Drama
City of God;City of God;9.0;2003;;Crime,Drama
Isle of Dogs;Isle of Dogs;8.0;2018;;Animation,Adventure,Comedy,Drama,Fantasy,Sci-Fi
Legends of the Fall;Legends of the Fall;7.1;1995;;Drama,Romance,War,Western
Schindler's List;Schindler's List;9.2;1993;;Biography,Drama,History
Mad Max: Fury Road;Mad Max: Fury Road;8.5;2015;;Action,Adventure,Sci-Fi,Thriller
Dogville;Dogville;8.5;2004;;Crime,Drama
Pocahontas;Pocahontas;7.1;1995;;Animation,Adventure,Drama,Family,Musical,Romance
The World's Fastest Indian;The World's Fastest Indian;7.7;2005;;Biography,Drama,Sport
Harry Potter and the Deathly Hallows: Part 2;Harry Potter and the Deathly Hallows: Part 2;8.3;2011;;Adventure,Family,Fantasy,Mystery
Cool Hand Luke;Cool Hand Luke;8.3;1967;;Crime,Drama
The Fast and the Furious;The Fast and the Furious;7.1;2001;;Action,Crime,Thriller
My Sister's Keeper;My Sister's Keeper;6.8;2009;;Drama,Family
Spider-Man: Across the Spider-Verse;Spider-Man: Across the Spider-Verse;8.5;2023;;Animation,Action,Adventure,Family,Fantasy,Sci-Fi
The Blues Brothers;The Blues Brothers;8.4;1980;;Adventure,Comedy,Crime,Music,Musical
Pan's Labyrinth;Pan's Labyrinth;8.7;2006;;Drama,Fantasy,War
Die Hard;Die Hard;8.7;1988;;Action,Thriller
As Good as It Gets;As Good as It Gets;7.6;1997;;Comedy,Drama,Romance
Interview with the Vampire: The Vampire Chronicles;Interview with the Vampire: The Vampire Chronicles;7.5;1994;;Drama,Fantasy,Horror
Good Will Hunting;Good Will Hunting;8.6;1997;;Drama,Romance
One Flew Over the Cuckoo's Nest;One Flew Over the Cuckoo's Nest;8.8;1975;;Drama
What's Eating Gilbert Grape;What's Eating Gilbert Grape;7.9;1994;;Drama
Erin Brockovich;Erin Brockovich;7.7;2000;;Biography,Drama
Breakfast at Tiffany's;Breakfast at Tiffany's;7.6;1961;;Comedy,Drama,Romance
Gladiator;Gladiator;8.7;2000;;Action,Adventure,Drama
Star Wars: Episode III - Revenge of the Sith;Star Wars: Episode III - Revenge of the Sith;8.0;2005;;Action,Adventure,Fantasy,Sci-Fi
Kill Bill: Vol. 1;Kill Bill: Vol. 1;8.3;2003;;Action,Crime,Thriller
The King's Speech;The King's Speech;8.3;2010;;Biography,Drama,History
Dead Poets Society;Dead Poets Society;8.4;1989;;Comedy,Drama
Girl, Interrupted;Girl, Interrupted;7.4;1999;;Biography,Drama
K-PAX;K-PAX;7.2;2001;;Drama,Mystery,Sci-Fi
The Third Man;The Third Man;8.4;1949;;Drama,Film-Noir,Mystery,Thriller
The Salt of the Earth;The Salt of the Earth;8.3;2015;;Documentary,Biography,History
The Boy in the Striped Pajamas;The Boy in the Striped Pajamas;7.2;2008;;
The Good, the Bad and the Ugly;The Good, the Bad and the Ugly;9.2;1968;;
The Reader;The Reader;7.3;2008;;
Pirates of the Caribbean: Dead Man's Chest;Pirates of the Caribbean: Dead Man's Chest;7.7;2006;;
