original_title;english_title;rating;year;film_poster;genres
Rocky;Rocky;8.7;1976;;Drama,Sport
Man on Fire;Man on Fire;7.4;2004;;Action,Crime,Drama,Thriller
Inglourious Basterds;Inglourious Basterds;8.3;2009;;Adventure,Drama,War
Oppenheimer;Oppenheimer;8.5;2023;;Biography,Drama,History
Call Me by Your Name;Call Me by Your Name;8.0;2017;;Drama,Romance
The Illusionist;The Illusionist;7.5;2006;;Drama,Fantasy,Mystery,Romance,Thriller
Tell No One;Tell No One;7.1;2008;;Crime,Drama,Mystery,Romance,Thriller
Corpus Christi;Corpus Christi;7.8;2020;;Drama
Braveheart;Braveheart;8.0;1995;;Biography,Drama,War
Some Like It Hot;Some Like It Hot;8.3;1959;;Comedy,Music,Romance
Once Upon a Time in America;Once Upon a Time in America;8.3;1984;;Crime,Drama
Toy Story;Toy Story;8.9;1995;;Animation,Adventure,Comedy,Family,Fantasy
Barry Lyndon;Barry Lyndon;8.5;1975;;Adventure,Drama,War
Batman Begins;Batman Begins;8.3;2005;;Action,Drama
The Sound of Music;The Sound of Music;8.4;1965;;Biography,Drama,Family,Musical,Romance
High and Low;High and Low;8.3;1963;;Crime,Drama,Mystery,Thriller
Dracula;Dracula;7.7;2013;;Drama,Horror,Romance
To Kill a Mockingbird;To Kill a Mockingbird;8.6;1962;;Crime,Drama
Modern Times;Modern Times;8.7;2003;;Comedy,Drama,Romance
A Separation;A Separation;8.9;2011;;Drama
All About My Mother;All About My Mother;8.3;1999;;Comedy,Drama,Romance
The Last Samurai;The Last Samurai;8.2;2003;;Action,Drama
Love Actually;Love Actually;7.2;2003;;Comedy,Drama,Romance
Come and See;Come and See;9.1;1987;;Drama,Thriller,War
The Perks of Being a Wallflower;The Perks of Being a Wallflower;8.4;2012;;Drama
Me Before You;Me Before You;6.8;2016;;Drama,Romance
The Chorus;The Chorus;7.7;2005;;Drama,Music
Lethal Weapon;Lethal Weapon;7.1;2016;;Action,Adventure,Comedy,Crime,Drama,Mystery,Thriller
Coco;Coco;8.4;2017;;Animation,Adventure,Drama,Family,Fantasy,Music,Mystery
We Were Soldiers;We Were Soldiers;6.9;2002;;Action,Drama,History,War
The Big Lebowski;The Big Lebowski;8.4;1998;;Comedy,Crime
The Phantom of the Opera;The Phantom of the Opera;6.5;2004;;Drama,Musical,Romance,Thriller
Monty Python and the Holy Grail;Monty Python and the Holy Grail;8.5;1975;;Adventure,Comedy,Fantasy
Saving Private Ryan;Saving Private Ryan;8.9;1998;;Drama,War
August Rush;August Rush;6.8;2007;;Drama,Music
Hacksaw Ridge;Hacksaw Ridge;8.3;2016;;Biography,Drama,History,War
