original_title,english_title,rating,year,film_poster,genres
The Blues Brothers,,7.46,1980,https://fwcdn.pl/fpo/12/25/1225/6912728_1.7.webp,Komedia;Musical
Natural Born Killers,,7.46,1994,https://fwcdn.pl/fpo/10/49/1049/7841320_1.7.webp,Dramat;Thriller;Romans
Up,,7.46,2009,https://fwcdn.pl/fpo/67/04/436704/7290601_2.7.webp,Animacja;Familijny;Komedia;Przygodowy
The Last of the Mohicans,,7.46,1992,https://fwcdn.pl/fpo/84/27/8427/7517881_1.7.webp,Dramat historyczny
Stalker,,7.46,1979,https://fwcdn.pl/fpo/08/08/30808/7884381_1.7.webp,Sci-Fi;Dramat obyczajowy
Deadpool 2,,7.46,2018,https://fwcdn.pl/fpo/04/29/760429/7840533_2.7.webp,Komedia;Akcja;Sci-Fi
Murder in the First,,7.46,1995,https://fwcdn.pl/fpo/10/55/1055/7989391_1.7.webp,Dramat sądowy
Persepolis,,7.46,2007,https://fwcdn.pl/fpo/83/62/338362/7179915_2.7.webp,Dramat;Animacja dla dorosłych
Breaking the Waves,,7.45,1996,https://fwcdn.pl/fpo/01/58/158/7695545_1.7.webp,Dramat
Guardians of the Galaxy Vol. 2,,7.45,2017,https://fwcdn.pl/fpo/21/46/722146/7779933_2.7.webp,Akcja;Sci-Fi
Twardowsky,,7.45,2015,https://fwcdn.pl/fpo/95/64/759564/7770146_2.7.webp,Sci-Fi;Krótkometrażowy
Lethal Weapon,,7.45,1987,https://fwcdn.pl/fpo/13/08/1308/7059259_1.7.webp,Komedia kryminalna
The Maker,,7.45,2011,https://fwcdn.pl/fpo/38/72/643872/7461463_1.7.webp,Animacja;Fantasy;Krótkometrażowy
Pora umierać,,7.45,2007,https://fwcdn.pl/fpo/83/18/338318/7173360_1.7.webp,Dramat
Hooligans,,7.45,2005,https://fwcdn.pl/fpo/41/19/124119/7521205_2.7.webp,Dramat
The Nightmare Before Christmas,,7.45,1993,https://fwcdn.pl/fpo/77/05/7705/7130230_1.7.webp,Animacja;Fantasy;Musical;Świąteczny
Le locataire,,7.45,1976,https://fwcdn.pl/fpo/71/94/7194/7976092_1.7.webp,Thriller;Psychologiczny
Vozvrashchenie,,7.45,2003,https://fwcdn.pl/fpo/76/97/107697/6973431_2.7.webp,Dramat
Smultronstället,,7.45,1957,https://fwcdn.pl/fpo/16/70/31670/6918586_1.7.webp,Dramat
Sweeney Todd: The Demon Barber of Fleet Street,,7.45,2007,https://fwcdn.pl/fpo/19/45/191945/7379045_1.7.webp,Musical;Thriller
Popiół i diament,,7.45,1958,https://fwcdn.pl/fpo/11/18/1118/7005370_1.7.webp,Dramat;Psychologiczny;Polityczny
Spider-Man: No Way Home,,7.45,2021,https://fwcdn.pl/fpo/02/61/850261/7985244_2.7.webp,Akcja;Sci-Fi
What Dreams May Come,,7.45,1998,https://fwcdn.pl/fpo/05/38/538/6930166_1.7.webp,Fantasy;Melodramat
Poszukiwany, poszukiwana,,7.45,1972,https://fwcdn.pl/fpo/11/69/1169/7143521_1.7.webp,Komedia
The Patriot,,7.45,2000,https://fwcdn.pl/fpo/09/44/944/7518078_1.7.webp,Dramat historyczny
The Perks of Being a Wallflower,,7.45,2012,https://fwcdn.pl/fpo/26/39/572639/7559915_2.7.webp,Melodramat
La leggenda del pianista sull'oceano,,7.45,1998,https://fwcdn.pl/fpo/08/63/863/7521196_1.7.webp,Dramat;Muzyczny
